Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultsScore,Breakdown,100-metres,long-jump,shot-put,high-jump,400-metres,110-metres-hurdles,discus-throw,pole-vault,javelin-throw,1500-metres,100-metres_wind,long-jump_wind,110-metres-hurdles_wind
1,9126,KevinMAYER,10FEB1992,FRA,1,"StadePierrePaulBernard,Talence(FRA)",16SEP2018,1302, 10.55/+0.3 - 7.80/+1.2 - 16.00 - 2.05 - 48.42 / 13.75/-1.1 - 50.54 - 5.45 - 71.90 - 4:36.11 ,10.55,7.80,16.00,2.05,48.42,13.75,50.54,5.45,71.90,4:36.11,+0.3,+1.2,-1.1
2,9045,AshtonEATON,21JAN1988,USA,1,"NationalStadium,Beijing(CHN)",29AUG2015,1289, 10.23/-0.4 - 7.88/0.0 - 14.52 - 2.01 - 45.00 / 13.69/-0.2 - 43.34 - 5.20 - 63.63 - 4:17.52 ,10.23,7.88,14.52,2.01,45.00,13.69,43.34,5.20,63.63,4:17.52,-0.4,0.0,-0.2
3,9026,RomanŠEBRLE,26NOV1974,CZE,1,Götzis(AUT),27MAY2001,1286, 10.64/0.0 - 8.11/+1.9 - 15.33 - 2.12 - 47.79 / 13.92/-0.2 - 47.92 - 4.80 - 70.16 - 4:21.98 ,10.64,8.11,15.33,2.12,47.79,13.92,47.92,4.80,70.16,4:21.98,0.0,+1.9,-0.2
4,8994,TomášDVOŘÁK,11MAY1972,CZE,1,Praha(CZE),04JUL1999,1281, 10.54/-0.1 - 7.90/+1.1 - 16.78 - 2.04 - 48.08 / 13.73/0.0 - 48.33 - 4.90 - 72.32 - 4:37.20 ,10.54,7.90,16.78,2.04,48.08,13.73,48.33,4.90,72.32,4:37.20,-0.1,+1.1,0.0
5,8891,DanO'BRIEN,18JUL1966,USA,1,Talence(FRA),05SEP1992,1265, 10.43/+2.1 - 8.08/+1.8 - 16.69 - 2.07 - 48.51 / 13.98/-0.5 - 48.56 - 5.00 - 62.58 - 4:42.10 ,10.43,8.08,16.69,2.07,48.51,13.98,48.56,5.00,62.58,4:42.10,+2.1,+1.8,-0.5
6,8832,BryanCLAY,03JAN1980,USA,1,"Eugene,OR(USA)",30JUN2008,1256, 10.39/-0.4 - 7.39/-1.6 - 15.17 - 2.08 - 48.41 / 13.75/+1.9 - 52.74 - 5.00 - 70.55 - 4:50.97 ,10.39,7.39,15.17,2.08,48.41,13.75,52.74,5.00,70.55,4:50.97,-0.4,-1.6,+1.9
7,8815,ErkiNOOL,25JUN1970,EST,2,"CommonwealthStadium,Edmonton(CAN)",07AUG2001,1253, 10.60/+1.5 - 7.63/+2.0 - 14.90 - 2.03 - 46.23 / 14.40/0.0 - 43.40 - 5.40 - 67.01 - 4:29.58 ,10.60,7.63,14.90,2.03,46.23,14.40,43.40,5.40,67.01,4:29.58,+1.5,+2.0,0.0
8,8811,DaleyTHOMPSON,30JUL1958,GBR,1,"Neckarstadion,Stuttgart(GER)",28AUG1986,1252, 10.26/+2.0 - 7.72/+1.0 - 15.73 - 2.00 - 47.02 / 14.04/-0.3 - 43.38 - 5.10 - 62.78 - 4:26.16 ,10.26,7.72,15.73,2.00,47.02,14.04,43.38,5.10,62.78,4:26.16,+2.0,+1.0,-0.3
9,8795,DamianWARNER,04NOV1989,CAN,1,"Mösle-Stadium,Götzis(AUT)",27MAY2018,1250, 10.31/+0.6 - 7.81/+0.5 - 14.83 - 2.03 - 47.72 / 13.56/0.0 - 47.32 - 4.80 - 61.94 - 4:26.59 ,10.31,7.81,14.83,2.03,47.72,13.56,47.32,4.80,61.94,4:26.59,+0.6,+0.5,0.0
10,8790,TreyHARDEE,07FEB1984,USA,1,"Olympiastadion,Berlin(GER)",20AUG2009,1249, 10.45/+0.2 - 7.83/+1.9 - 15.33 - 1.99 - 48.13 / 13.86/+0.3 - 48.08 - 5.20 - 68.00 - 4:48.91 ,10.45,7.83,15.33,1.99,48.13,13.86,48.08,5.20,68.00,4:48.91,+0.2,+1.9,+0.3
11,8784,TomPAPPAS,06SEP1976,USA,1,"PaloAlto,CA(USA)",22JUN2003,1248, 10.78/+0.2 - 7.96/+1.4 - 16.28 - 2.17 - 48.22 / 14.13/+1.7 - 45.84 - 5.20 - 60.77 - 4:48.12 ,10.78,7.96,16.28,2.17,48.22,14.13,45.84,5.20,60.77,4:48.12,+0.2,+1.4,+1.7
12,8735,EduardHÄMÄLÄINEN,21JAN1969,BLR,1,Götzis(AUT),29MAY1994,1240, 10.50/+2.1 - 7.26/+1.0 - 16.05 - 2.11 - 47.63 / 13.82/-3.0 - 49.70 - 4.90 - 60.32 - 4:35.09 ,10.50,7.26,16.05,2.11,47.63,13.82,49.70,4.90,60.32,4:35.09,+2.1,+1.0,-3.0
13,8730,JürgenHINGSEN,15APR1958,FRG,2,"Neckarstadion,Stuttgart(GER)",28AUG1986,1240, 10.87/+2.5 - 7.89/+2.8 - 16.46 - 2.12 - 48.79 / 14.52/-0.3 - 48.42 - 4.60 - 64.38 - 4:21.61 ,10.87,7.89,16.46,2.12,48.79,14.52,48.42,4.60,64.38,4:21.61,+2.5,+2.8,-0.3
14,8725,DmitriyKARPOV,23JUL1981,KAZ,3,"OlympicStadium,Athina(GRE)",24AUG2004,1239, 10.50/+2.2 - 7.81/-0.9 - 15.93 - 2.09 - 46.81 / 13.97/+1.5 - 51.65 - 4.60 - 55.54 - 4:38.11 ,10.50,7.81,15.93,2.09,46.81,13.97,51.65,4.60,55.54,4:38.11,+2.2,-0.9,+1.5
15,8706,FrankBUSEMANN,26FEB1975,GER,2,"OlympicStadium,Atlanta,GA(USA)",01AUG1996,1236, 10.60/ - 8.07/+0.8 - 13.60 - 2.04 - 48.34 / 13.47/+0.3 - 45.04 - 4.80 - 66.86 - 4:31.41 ,10.60,8.07,13.60,2.04,48.34,13.47,45.04,4.80,66.86,4:31.41,,+0.8,+0.3
16,8705,DaveJOHNSON,07APR1963,USA,1,"Azusa,CA(USA)",24APR1992,1236, 10.96/+0.4 - 7.52/+4.5 - 14.61 - 2.04 - 48.19 / 14.17/+0.3 - 49.88 - 5.28 - 66.96 - 4:29.38 ,10.96,7.52,14.61,2.04,48.19,14.17,49.88,5.28,66.96,4:29.38,+0.4,+4.5,+0.3
17,8694,ChrisHUFFINS,19APR1970,USA,1,"NewOrleans,LA(USA)",20JUN1998,1234, 10.31/+3.5 - 7.76/+2.5 - 15.43 - 2.18 - 49.02 / 14.02/+1.0 - 53.22 - 4.60 - 61.59 - 4:59.43 ,10.31,7.76,15.43,2.18,49.02,14.02,53.22,4.60,61.59,4:59.43,+3.5,+2.5,+1.0
18,8691,NiklasKAUL,11FEB1998,GER,1,"KhalifaInternationalStadium,Doha(QAT)",04OCT2019,1234, 11.27/+0.3 - 7.19/+0.6 - 15.10 - 2.02 - 48.48 / 14.64/+0.7 - 49.20 - 5.00 - 79.05 - 4:15.70 ,11.27,7.19,15.10,2.02,48.48,14.64,49.20,5.00,79.05,4:15.70,+0.3,+0.6,+0.7
19,8676,SiegfriedWENTZ,07MAR1960,FRG,3,"Neckarstadion,Stuttgart(GER)",28AUG1986,1231, 10.83/+2.0 - 7.60/+0.3 - 15.45 - 2.12 - 47.57 / 14.07/-0.3 - 45.66 - 4.90 - 65.34 - 4:35.00 ,10.83,7.60,15.45,2.12,47.57,14.07,45.66,4.90,65.34,4:35.00,+2.0,+0.3,-0.3
20,8670,MichaelSCHRADER,01JUL1987,GER,2,"Luzhniki,Moskva(RUS)",11AUG2013,1230, 10.73/-0.5 - 7.85/+0.2 - 14.56 - 1.99 - 47.66 / 14.29/+0.4 - 46.44 - 5.00 - 65.67 - 4:25.38 ,10.73,7.85,14.56,1.99,47.66,14.29,46.44,5.00,65.67,4:25.38,-0.5,+0.2,+0.4
21,8667,GuidoKRATSCHMER,10JAN1953,FRG,1,Filderstadt(GER),14JUN1980,1230, N/A - N/A - N/A - N/A - N/A / N/A - N/A - N/A - N/A - N/A ,N,N,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,A,A,A
22,8663,RicoFREIMUTH,14MAR1988,GER,1,"Stadionring,Ratingen(GER)",25JUN2017,1229, 10.44/+3.3 - 7.60/+1.5 - 14.87 - 2.01 - 48.76 / 13.87/+0.7 - 51.56 - 4.90 - 62.33 - 4:37.04 ,10.44,7.60,14.87,2.01,48.76,13.87,51.56,4.90,62.33,4:37.04,+3.3,+1.5,+0.7
23,8654,LeonelSUÁREZ,01SEP1987,CUB,1,LaHabana(CUB),04JUL2009,1228, 11.07/+0.7 - 7.42/+0.8 - 14.39 - 2.09 - 47.65 / 14.15/-0.6 - 46.07 - 4.70 - 77.47 - 4:27.29 ,11.07,7.42,14.39,2.09,47.65,14.15,46.07,4.70,77.47,4:27.29,+0.7,+0.8,-0.6
24,8644,SteveFRITZ,01NOV1967,USA,4,"OlympicStadium,Atlanta,GA(USA)",01AUG1996,1226, 10.90/+0.8 - 7.77/+0.9 - 15.31 - 2.04 - 50.13 / 13.97/+0.3 - 49.84 - 5.10 - 65.70 - 4:38.26 ,10.90,7.77,15.31,2.04,50.13,13.97,49.84,5.10,65.70,4:38.26,+0.8,+0.9,+0.3
24,8644,MauriceSMITH,28SEP1980,JAM,2,"NagaiStadium,Osaka(JPN)",01SEP2007,1226, 10.62/+0.7 - 7.50/0.0 - 17.32 - 1.97 - 47.48 / 13.91/-0.2 - 52.36 - 4.80 - 53.61 - 4:33.52 ,10.62,7.50,17.32,1.97,47.48,13.91,52.36,4.80,53.61,4:33.52,+0.7,0.0,-0.2
26,8627,RobertZMĚLÍK,18APR1969,TCH,1,Götzis(AUT),31MAY1992,1224, 10.62/+2.1 - 8.02/+0.2 - 13.93 - 2.05 - 48.73 / 13.84/+1.2 - 44.44 - 4.90 - 61.26 - 4:24.83 ,10.62,8.02,13.93,2.05,48.73,13.84,44.44,4.90,61.26,4:24.83,+2.1,+0.2,+1.2
27,8626,MichaelSMITH,16SEP1967,CAN,1,Götzis(AUT),26MAY1996,1223, 11.23/-0.6 - 7.72/+0.6 - 16.94 - 1.97 - 48.69 / 14.77/-2.4 - 52.90 - 4.90 - 71.22 - 4:41.95 ,11.23,7.72,16.94,1.97,48.69,14.77,52.90,4.90,71.22,4:41.95,-0.6,+0.6,-2.4
28,8617,AndreiKRAUCHANKA,04JAN1986,BLR,1,"Mösle-Stadium,Götzis(AUT)",27MAY2007,1222, 10.86/+0.2 - 7.90/+0.9 - 13.89 - 2.15 - 47.46 / 14.05/-0.1 - 39.63 - 5.00 - 64.35 - 4:29.10 ,10.86,7.90,13.89,2.15,47.46,14.05,39.63,5.00,64.35,4:29.10,+0.2,+0.9,-0.1
29,8605,ArthurABELE,30JUL1986,GER,1,"Stadionring,Ratingen(GER)",26JUN2016,1220, 10.95/-0.6 - 7.48/+0.4 - 15.79 - 1.98 - 49.43 / 14.07/-0.9 - 46.20 - 4.90 - 71.89 - 4:24.12 ,10.95,7.48,15.79,1.98,49.43,14.07,46.20,4.90,71.89,4:24.12,-0.6,+0.4,-0.9
30,8604,MaicelUIBO,27DEC1992,EST,2,"KhalifaInternationalStadium,Doha(QAT)",04OCT2019,1220, 11.10/+0.3 - 7.46/+0.2 - 15.12 - 2.17 - 50.44 / 14.43/+0.2 - 46.64 - 5.40 - 63.83 - 4:31.51 ,11.10,7.46,15.12,2.17,50.44,14.43,46.64,5.40,63.83,4:31.51,+0.3,+0.2,+0.2
31,8603,DeanMACEY,12DEC1977,GBR,3,"CommonwealthStadium,Edmonton(CAN)",07AUG2001,1220, 10.72/-0.7 - 7.59/+0.4 - 15.41 - 2.15 - 46.21 / 14.34/0.0 - 46.96 - 4.70 - 54.61 - 4:29.05 ,10.72,7.59,15.41,2.15,46.21,14.34,46.96,4.70,54.61,4:29.05,-0.7,+0.4,0.0
32,8601,IlyaSHKURENYOV,11JAN1991,RUS,1,Smolensk(RUS),10JUN2017,1220, 10.89/+0.7 - 7.58/+0.9 - 14.15 - 2.12 - 49.00 / 13.95/+1.4 - 44.91 - 5.30 - 60.29 - 4:28.35 ,10.89,7.58,14.15,2.12,49.00,13.95,44.91,5.30,60.29,4:28.35,+0.7,+0.9,+1.4
33,8580,KaiKAZMIREK,28JAN1991,GER,4,"EstádioOlímpico,RiodeJaneiro(BRA)",18AUG2016,1216, 10.78/-0.1 - 7.69/-1.0 - 14.20 - 2.10 - 46.75 / 14.62/+0.7 - 43.25 - 5.00 - 64.60 - 4:31.25 ,10.78,7.69,14.20,2.10,46.75,14.62,43.25,5.00,64.60,4:31.25,-0.1,-1.0,+0.7
34,8574,ChristianPLAZIAT,28OCT1963,FRA,1,"PoljudStadion,Split(CRO)",29AUG1990,1215, 10.72/-0.6 - 7.77/+1.1 - 14.19 - 2.10 - 47.10 / 13.98/+0.7 - 44.36 - 5.00 - 54.72 - 4:27.83 ,10.72,7.77,14.19,2.10,47.10,13.98,44.36,5.00,54.72,4:27.83,-0.6,+1.1,+0.7
34,8574,OleksandrYURKOV,21JUL1975,UKR,4,Götzis(AUT),04JUN2000,1215, 10.69/+0.9 - 7.93/+1.8 - 15.26 - 2.03 - 49.74 / 14.56/-0.9 - 47.85 - 5.15 - 58.92 - 4:32.49 ,10.69,7.93,15.26,2.03,49.74,14.56,47.85,5.15,58.92,4:32.49,+0.9,+1.8,-0.9
36,8573,JónArnarMAGNÚSSON,28JUL1969,ISL,3,Götzis(AUT),31MAY1998,1215, 10.74/+0.5 - 7.60/-0.2 - 16.03 - 2.03 - 47.66 / 14.24/-0.7 - 47.82 - 5.10 - 59.77 - 4:46.43 ,10.74,7.60,16.03,2.03,47.66,14.24,47.82,5.10,59.77,4:46.43,+0.5,-0.2,-0.7
37,8571,LevLOBODIN,01APR1969,RUS,3,"Népstadion,Budapest(HUN)",20AUG1998,1215, 10.66/+2.2 - 7.42/-0.2 - 15.67 - 2.03 - 48.65 / 13.97/+0.9 - 46.55 - 5.20 - 56.55 - 4:30.27 ,10.66,7.42,15.67,2.03,48.65,13.97,46.55,5.20,56.55,4:30.27,+2.2,-0.2,+0.9
38,8566,SebastianCHMARA,21NOV1971,POL,1,AlhamadeMurcia(ESP),17MAY1998,1214, 10.97/+2.9 - 7.56/-1.2 - 16.03 - 2.10 - 48.27 / 14.32/+1.8 - 44.39 - 5.20 - 57.25 - 4:29.66 ,10.97,7.56,16.03,2.10,48.27,14.32,44.39,5.20,57.25,4:29.66,+2.9,-1.2,+1.8
39,8558,PascalBEHRENBRUCH,19JAN1985,GER,1,Helsinki(FIN),28JUN2012,1213, 10.93/+0.8 - 7.15/-0.8 - 16.89 - 1.97 - 48.54 / 14.16/+0.2 - 48.24 - 5.00 - 67.45 - 4:34.02 ,10.93,7.15,16.89,1.97,48.54,14.16,48.24,5.00,67.45,4:34.02,+0.8,-0.8,+0.2
40,8554,AttilaZSIVOCZKY-PANDEL,29APR1977,HUN,5,Götzis(AUT),04JUN2000,1212, 10.64/+2.1 - 7.24/-1.0 - 15.72 - 2.18 - 48.13 / 14.87/-0.9 - 45.64 - 4.65 - 63.57 - 4:23.13 ,10.64,7.24,15.72,2.18,48.13,14.87,45.64,4.65,63.57,4:23.13,+2.1,-1.0,-0.9
41,8548,PaulMEIER,27JUL1971,GER,3,"Gottlieb-DaimlerStadion,Stuttgart(GER)",20AUG1993,1211, 10.57/+0.9 - 7.57/+1.1 - 15.45 - 2.15 - 47.73 / 14.63/0.0 - 45.72 - 4.60 - 61.22 - 4:32.05 ,10.57,7.57,15.45,2.15,47.73,14.63,45.72,4.60,61.22,4:32.05,+0.9,+1.1,0.0
42,8539,LindonVICTOR,23FEB1993,GRN,1,"Columbia,SC(USA)",12MAY2017,1210, 10.64/+3.6 - 7.35/+2.1 - 15.18 - 2.05 - 48.74 / 14.45/+1.8 - 55.22 - 4.70 - 68.97 - 4:55.91 ,10.64,7.35,15.18,2.05,48.74,14.45,55.22,4.70,68.97,4:55.91,+3.6,+2.1,+1.8
42,8539,EelcoSINTNICOLAAS,07APR1987,NED,2,"Mösle-Stadium,Götzis(AUT)",28MAY2017,1210, 10.57/+0.5 - 7.61/+0.6 - 14.62 - 1.91 - 48.37 / 14.16/-1.2 - 43.52 - 5.40 - 62.13 - 4:30.32 ,10.57,7.61,14.62,1.91,48.37,14.16,43.52,5.40,62.13,4:30.32,+0.5,+0.6,-1.2
44,8526,FranciscoJavierBENET,25MAR1968,ESP,2,AlhamadeMurcia(ESP),17MAY1998,1208, 10.72/+2.9 - 7.45/-1.2 - 14.57 - 1.92 - 48.10 / 13.83/+1.8 - 46.12 - 5.00 - 65.37 - 4:26.81 ,10.72,7.45,14.57,1.92,48.10,13.83,46.12,5.00,65.37,4:26.81,+2.9,-1.2,+1.8
44,8526,KristjanRAHNU,29AUG1979,EST,1,Arles(FRA),05JUN2005,1208, 10.52/+2.2 - 7.58/+1.6 - 15.51 - 1.99 - 48.60 / 14.04/+3.1 - 50.81 - 4.95 - 60.71 - 4:52.18 ,10.52,7.58,15.51,1.99,48.60,14.04,50.81,4.95,60.71,4:52.18,+2.2,+1.6,+3.1
46,8524,SébastienLEVICQ,25JUN1971,FRA,4,"LaCartuja,Sevilla(ESP)",25AUG1999,1208, 11.05/+0.2 - 7.52/-0.4 - 14.22 - 2.00 - 50.13 / 14.48/+0.6 - 44.65 - 5.50 - 69.01 - 4:26.81 ,11.05,7.52,14.22,2.00,50.13,14.48,44.65,5.50,69.01,4:26.81,+0.2,-0.4,+0.6
47,8521,LarbiBOURRADA,10MAY1988,ALG,5,"EstádioOlímpico,RiodeJaneiro(BRA)",18AUG2016,1207, 10.75/-0.4 - 7.52/+0.4 - 13.78 - 2.10 - 47.98 / 14.15/+0.4 - 42.39 - 4.60 - 66.49 - 4:14.60 ,10.75,7.52,13.78,2.10,47.98,14.15,42.39,4.60,66.49,4:14.60,-0.4,+0.4,+0.4
48,8519,HansVANALPHEN,12JAN1982,BEL,1,"Mösle-Stadium,Götzis(AUT)",27MAY2012,1207, 10.96/+1.0 - 7.62/+1.1 - 15.23 - 2.06 - 49.54 / 14.55/+0.4 - 45.45 - 4.96 - 64.15 - 4:20.87 ,10.96,7.62,15.23,2.06,49.54,14.55,45.45,4.96,64.15,4:20.87,+1.0,+1.1,+0.4
49,8509,KurtFELIX,04JUL1988,GRN,2,"Stadionring,Ratingen(GER)",25JUN2017,1205, 10.91/+3.3 - 7.68/-0.8 - 15.31 - 2.07 - 48.67 / 14.92/+0.7 - 50.59 - 4.50 - 72.80 - 4:43.21 ,10.91,7.68,15.31,2.07,48.67,14.92,50.59,4.50,72.80,4:43.21,+3.3,-0.8,+0.7
50,8506,ValterKÜLVET,19FEB1964,URS,1,Staiki(BLR),02JUL1988,1205, 11.05/-1.4 - 7.35/+0.4 - 15.78 - 2.00 - 48.08 / 14.55/-0.9 - 14.07/+0.9 - 52.04 - 4.60 - 61.72 - 4:15.93 ,11.05,7.35,15.78,2.00,48.08,14.55,14.07/+0.9,52.04,4.60,61.72,-1.4,+0.4,-0.9
51,8500,ChristianSCHENK,09FEB1965,GER,4,"Gottlieb-DaimlerStadion,Stuttgart(GER)",20AUG1993,1204, 11.22/-0.9 - 7.63/0.0 - 15.72 - 2.15 - 48.78 / 15.29/0.0 - 46.94 - 4.80 - 65.32 - 4:24.44 ,11.22,7.63,15.72,2.15,48.78,15.29,46.94,4.80,65.32,4:24.44,-0.9,0.0,0.0
52,8497,AlekseySYSOYEV,08MAR1985,RUS,2,"Mösle-Stadium,Götzis(AUT)",01JUN2008,1203, 10.86/-0.7 - 7.01/+0.5 - 15.49 - 2.03 - 49.10 / 14.64/+1.3 - 54.08 - 5.10 - 64.22 - 4:38.82 ,10.86,7.01,15.49,2.03,49.10,14.64,54.08,5.10,64.22,4:38.82,-0.7,+0.5,+1.3
53,8496,YordaniGARCÍA,21NOV1988,CUB,1,LaHabana(CUB),30MAY2009,1203, 10.88/+0.1 - 7.36/+0.2 - 16.50 - 2.10 - 48.77 / 14.07/-0.5 - 43.97 - 4.80 - 68.10 - 4:46.80 ,10.88,7.36,16.50,2.10,48.77,14.07,43.97,4.80,68.10,4:46.80,+0.1,+0.2,-0.5
54,8492,AshleyMOLONEY,13MAR2000,AUS,1,"QSAC,Nathan,Brisbane(AUS)",20DEC2020,1203, 10.36/-0.3 - 7.67/+2.3 - 13.62 - 2.11 - 45.82 / 14.17/+1.6 - 43.93 - 4.80 - 57.77 - 4:48.48 ,10.36,7.67,13.62,2.11,45.82,14.17,43.93,4.80,57.77,4:48.48,-0.3,+2.3,+1.6
55,8490,JaganHAMES,31OCT1975,AUS,1,KualaLumpur(MAS),18SEP1998,1202, 10.77/0.0 - 7.64/+0.8 - 14.73 - 2.19 - 49.67 / 14.07/+0.4 - 46.40 - 5.00 - 64.67 - 64.67 - 5:02.68 ,10.77,7.64,14.73,2.19,49.67,14.07,46.40,5.00,64.67,64.67,0.0,+0.8,+0.4
56,8485,StefanSCHMID,06MAY1970,GER,1,Ratingen(GER),23JUL2000,1201, 10.82/0.0 - 7.59/-0.6 - 14.14 - 2.01 - 48.99 / 14.20/-1.6 - 44.24 - 5.06 - 67.63 - 4:31.76 ,10.82,7.59,14.14,2.01,48.99,14.20,44.24,5.06,67.63,4:31.76,0.0,-0.6,-1.6
57,8479,OleksiyKASYANOV,26AUG1985,UKR,3,"Olympiastadion,Berlin(GER)",20AUG2009,1201, 10.63/+0.2 - 7.80/+0.9 - 15.72 - 2.05 - 47.85 / 14.44/-0.1 - 46.70 - 4.80 - 49.00 - 4:24.52 ,10.63,7.80,15.72,2.05,47.85,14.44,46.70,4.80,49.00,4:24.52,+0.2,+0.9,-0.1
58,8475,AlekseyDROZDOV,03DEC1983,RUS,4,"NagaiStadium,Osaka(JPN)",01SEP2007,1200, 10.97/+0.2 - 7.25/-0.3 - 16.49 - 2.12 - 50.00 / 14.76/+1.4 - 48.62 - 5.00 - 63.51 - 4:36.93 ,10.97,7.25,16.49,2.12,50.00,14.76,48.62,5.00,63.51,4:36.93,+0.2,-0.3,+1.4
59,8473,UweFREIMUTH,10SEP1961,GDR,1,Götzis(AUT),26MAY1985,1200, 11.14/+0.1 - 7.50/+2.5 - 16.26 - 1.96 - 48.79 / 14.69/-0.6 - 47.50 - 4.90 - 69.86 - 4:32.13 ,11.14,7.50,16.26,1.96,48.79,14.69,47.50,4.90,69.86,4:32.13,+0.1,+2.5,-0.6
60,8461,MikeMACZEY,28SEP1972,GER,7,Götzis(AUT),04JUN2000,1198, 10.99/+0.9 - 7.59/+0.3 - 14.75 - 2.06 - 49.83 / 14.16/-1.0 - 44.56 - 5.15 - 62.27 - 4:29.93 ,10.99,7.59,14.75,2.06,49.83,14.16,44.56,5.15,62.27,4:29.93,+0.9,+0.3,-1.0
61,8453,AlainBLONDEL,07DEC1962,FRA,1,"OlympicStadium,Helsinki(FIN)",13AUG1994,1197, 11.12/+0.6 - 7.50/+3.2 - 13.78 - 1.99 - 48.91 / 14.18/+0.9 - 45.08 - 5.40 - 60.64 - 4:20.48 ,11.12,7.50,13.78,1.99,48.91,14.18,45.08,5.40,60.64,4:20.48,+0.6,+3.2,+0.9
61,8453,RomainBARRAS,01AUG1980,FRA,1,"EstadioOlímpico,Barcelona(ESP)",29JUL2010,1197, 11.09/-0.6 - 7.24/+1.5 - 15.15 - 2.04 - 48.33 / 14.22/-0.6 - 44.51 - 5.05 - 65.77 - 4:28.43 ,11.09,7.24,15.15,2.04,48.33,14.22,44.51,5.05,65.77,4:28.43,-0.6,+1.5,-0.6
61,8453,PierceLEPAGE,22JAN1996,CAN,1,"StadePierrePaulBernard,Talence(FRA)",23JUN2019,1197, 10.31/+0.7 - 7.87/+2.5 - 14.21 - 2.07 - 48.14 / 14.40/-1.3 - 44.46 - 5.25 - 55.22 - 4:59.76 ,10.31,7.87,14.21,2.07,48.14,14.40,44.46,5.25,55.22,4:59.76,+0.7,+2.5,-1.3
64,8450,TorstenVOSS,24MAR1963,GDR,4,"Neckarstadion,Stuttgart(GER)",28AUG1986,1196, 10.53/+2.5 - 7.85/+2.7 - 14.93 - 2.09 - 48.03 / 14.91/-0.3 - 43.64 - 5.10 - 57.76 - 4:47.15 ,10.53,7.85,14.93,2.09,48.03,14.91,43.64,5.10,57.76,4:47.15,+2.5,+2.7,-0.3
65,8445,RamilGANIYEV,23SEP1968,UZB,5,"OlympicStadium,Athina(GRE)",06AUG1997,1195, 10.94/+0.2 - 7.58/+0.7 - 14.76 - 2.06 - 48.34 / 14.34/-0.1 - 46.04 - 5.30 - 55.14 - 4:36.78 ,10.94,7.58,14.76,2.06,48.34,14.34,46.04,5.30,55.14,4:36.78,+0.2,+0.7,-0.1
65,8445,JohannesERM,26MAR1998,EST,2,Gävle(SWE),14JUL2019,1195, 10.73/+1.9 - 7.97/-0.7 - 14.66 - 2.03 - 47.41 / 14.33/+0.2 - 43.24 - 4.70 - 59.60 - 4:34.04 ,10.73,7.97,14.66,2.03,47.41,14.33,43.24,4.70,59.60,4:34.04,+1.9,-0.7,+0.2
67,8436,DezsőSZABÓ,04SEP1967,HUN,2,"PoljudStadion,Split(CRO)",29AUG1990,1194, 11.06/-0.2 - 7.49/+1.1 - 13.65 - 1.98 - 47.17 / 14.67/0.0 - 40.78 - 5.30 - 61.94 - 4:11.07 ,11.06,7.49,13.65,1.98,47.17,14.67,40.78,5.30,61.94,4:11.07,-0.2,+1.1,0.0
68,8429,AleksandrPOGORELOV,10JAN1980,RUS,3,"Mösle-Stadium,Götzis(AUT)",29MAY2005,1193, 10.91/+0.9 - 7.64/+0.6 - 16.03 - 2.09 - 50.16 / 14.14/-1.2 - 48.44 - 5.10 - 58.23 - 4:55.90 ,10.91,7.64,16.03,2.09,50.16,14.14,48.44,5.10,58.23,4:55.90,+0.9,+0.6,-1.2
