Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultsScore,Breakdown,100-metres,long-jump,shot-put,high-jump,400-metres,110-metres-hurdles,discus-throw,pole-vault,javelin-throw,1500-metres,100-metres_wind,long-jump_wind,110-metres-hurdles_wind
69,8425,JeremyTAIWO,15JAN1990,USA,2,"HaywardField,Eugene,OR(USA)",03JUL2016,1192, 10.94/+1.6 - 7.55/+1.1 - 14.88 - 2.21 - 48.76 / 14.22/+1.0 - 42.10 - 4.75 - 52.82 - 4:17.35 ,10.94,7.55,14.88,2.21,48.76,14.22,42.10,4.75,52.82,4:17.35,+1.6,+1.1,+1.0
70,8413,ZacheryZIEMEK,23FEB1993,USA,3,"HaywardField,Eugene,OR(USA)",03JUL2016,1190, 10.60/+1.8 - 7.72/+0.7 - 14.11 - 2.09 - 49.30 / 14.94/+1.0 - 48.17 - 5.25 - 57.24 - 4:48.21 ,10.60,7.72,14.11,2.09,49.30,14.94,48.17,5.25,57.24,4:48.21,+1.8,+0.7,+1.0
71,8412,AntonioPEÑALVER,01DEC1968,ESP,2,"EstadioOlímpico,Barcelona(ESP)",06AUG1992,1190, 11.09/ - 7.54/ - 16.50 - 2.06 - 49.66 / 14.58/ - 49.68 - 4.90 - 58.64 - 4:38.02 ,11.09,7.54,16.50,2.06,49.66,14.58,49.68,4.90,58.64,4:38.02,,,
72,8409,AleksandrNEVSKIY,21FEB1958,URS,3,Götzis(AUT),26MAY1985,1190, 10.95/0.0 - 7.35/+0.6 - 14.99 - 2.08 - 49.29 / 14.76/-0.8 - 46.12 - 4.60 - 68.16 - 4:21.09 ,10.95,7.35,14.99,2.08,49.29,14.76,46.12,4.60,68.16,4:21.09,0.0,+0.6,-0.8
73,8406,NicklasWIBERG,16APR1985,SWE,6,"Olympiastadion,Berlin(GER)",20AUG2009,1189, 10.96/-0.4 - 7.25/-0.4 - 14.99 - 2.05 - 48.73 / 14.75/+0.3 - 42.28 - 4.50 - 75.02 - 4:17.05 ,10.96,7.25,14.99,2.05,48.73,14.75,42.28,4.50,75.02,4:17.05,-0.4,-0.4,+0.3
74,8404,RickyBARKER,14NOV1969,USA,2,"CollegeStation,TX(USA)",15MAR1996,1189, 10.72/+3.2 - 7.53/+4.0 - 14.53 - 2.10 - 48.60 / 14.23/+3.0 - 43.78 - 5.20 - 58.88 - 4:49.56 ,10.72,7.53,14.53,2.10,48.60,14.23,43.78,5.20,58.88,4:49.56,+3.2,+4.0,+3.0
75,8403,HenrikDAGÅRD,07AUG1969,SWE,4,Talence(FRA),11SEP1994,1189, 10.82/-0.8 - 7.37/-0.2 - 14.80 - 1.97 - 47.25 / 14.24/-0.6 - 43.24 - 5.00 - 66.34 - 4:39.91 ,10.82,7.37,14.80,1.97,47.25,14.24,43.24,5.00,66.34,4:39.91,-0.8,-0.2,-0.6
76,8398,MikkPAHAPILL,18JUL1983,EST,3,"Mösle-Stadium,Götzis(AUT)",29MAY2011,1188, 11.08/+0.9 - 7.39/-1.3 - 15.48 - 2.03 - 50.95 / 14.70/-0.9 - 48.79 - 5.06 - 69.53 - 4:39.41 ,11.08,7.39,15.48,2.03,50.95,14.70,48.79,5.06,69.53,4:39.41,+0.9,-1.3,-0.9
76,8398,WillemCOERTZEN,30DEC1982,RSA,3,"Mösle-Stadium,Götzis(AUT)",31MAY2015,1188, 10.99/+0.3 - 7.46/-1.0 - 14.14 - 2.03 - 48.73 / 14.17/+1.5 - 44.84 - 4.60 - 68.43 - 4:22.22 ,10.99,7.46,14.14,2.03,48.73,14.17,44.84,4.60,68.43,4:22.22,+0.3,-1.0,+1.5
78,8393,CarlosEduardoBEZERRACHININ,03MAY1985,BRA,1,SãoPaulo(BRA),08JUN2013,1187, 10.85/+0.5 - 7.55/+0.9 - 15.28 - 2.04 - 48.18 / 14.08/+1.0 - 42.46 - 4.90 - 59.58 - 4:34.77 ,10.85,7.55,15.28,2.04,48.18,14.08,42.46,4.90,59.58,4:34.77,+0.5,+0.9,+1.0
79,8371,AndréNIKLAUS,30AUG1981,GER,5,"NagaiStadium,Osaka(JPN)",01SEP2007,1184, 11.12/+0.2 - 7.42/+0.4 - 14.12 - 2.06 - 49.40 / 14.51/-0.2 - 44.48 - 5.30 - 63.28 - 4:32.50 ,11.12,7.42,14.12,2.06,49.40,14.51,44.48,5.30,63.28,4:32.50,+0.2,+0.4,-0.2
79,8371,JanekÕIGLANE,25APR1994,EST,4,"OlympicStadium,London(GBR)",12AUG2017,1184, 11.08/-0.2 - 7.33/-0.1 - 15.13 - 2.05 - 49.58 / 14.56/-0.5 - 42.11 - 5.10 - 71.73 - 4:39.24 ,11.08,7.33,15.13,2.05,49.58,14.56,42.11,5.10,71.73,4:39.24,-0.2,-0.1,-0.5
81,8367,CedricDUBLER,13JAN1995,AUS,2,"QSAC,Nathan,Brisbane(AUS)",20DEC2020,1183, 10.79/-0.3 - 7.62/0.0 - 13.24 - 2.11 - 47.84 / 14.34/+1.6 - 41.70 - 5.00 - 62.48 - 4:41.05 ,10.79,7.62,13.24,2.11,47.84,14.34,41.70,5.00,62.48,4:41.05,-0.3,0.0,+1.6
82,8366,SimonPOELMAN,27MAY1963,NZL,1,Christchurch(NZL),22MAR1987,1183, 10.87/+0.1 - 7.34/+1.0 - 15.11 - 2.06 - 49.54 / 14.1h/+0.1 - 46.66 - 4.95 - 56.94 - 4:27.2h ,10.87,7.34,15.11,2.06,49.54,14.1h,46.66,4.95,56.94,4:27.2h,+0.1,+1.0,+0.1
83,8365,SergeySVIRIDOV,20OCT1990,RUS,1,"Adler,Sochi(RUS)",08MAY2012,1183, 10.88/+1.2 - 7.52/+1.2 - 15.03 - 1.94 - 48.28 / 14.83/+0.5 - 49.01 - 4.40 - 68.89 - 4:25.15 ,10.88,7.52,15.03,1.94,48.28,14.83,49.01,4.40,68.89,4:25.15,+1.2,+1.2,+0.5
84,8364,FelipeDOSSANTOS,30JUL1994,BRA,1,"COTPStadium,SãoPaulo(BRA)",12DEC2020,1183, 10.40/+0.8 - 7.64/-1.4 - 14.04 - 2.07 - 48.01 / 14.01/+1.4 - 42.46 - 4.90 - 59.82 - 4:55.83 ,10.40,7.64,14.04,2.07,48.01,14.01,42.46,4.90,59.82,4:55.83,+0.8,-1.4,+1.4
85,8363,ChielWARNERS,02APR1978,NED,5,Götzis(AUT),30MAY1999,1183, 10.78/-1.2 - 7.76/-0.2 - 14.74 - 1.97 - 46.61 / 14.32/-0.9 - 40.91 - 4.80 - 61.44 - 4:37.07 ,10.78,7.76,14.74,1.97,46.61,14.32,40.91,4.80,61.44,4:37.07,-1.2,-0.2,-0.9
86,8362,DaveSTEEN,14NOV1959,CAN,2,Götzis(AUT),19JUN1988,1182, 11.01/+2.1 - 7.78/+1.5 - 13.35 - 1.99 - 47.70 / 14.71/+0.8 - 42.86 - 5.10 - 60.06 - 4:21.10 ,11.01,7.78,13.35,1.99,47.70,14.71,42.86,5.10,60.06,4:21.10,+2.1,+1.5,+0.8
86,8362,ThomasFAHNER,18JUL1966,GDR,3,Götzis(AUT),19JUN1988,1182, 11.04/+1.0 - 7.55/+3.1 - 15.01 - 1.93 - 47.94 / 14.54/+0.3 - 46.66 - 4.60 - 68.40 - 4:27.77 ,11.04,7.55,15.01,1.93,47.94,14.54,46.66,4.60,68.40,4:27.77,+1.0,+3.1,+0.3
88,8357,YuniorDIAZ,28APR1987,CUB,8,"Olympiastadion,Berlin(GER)",20AUG2009,1182, 10.66/+0.2 - 7.72/-0.3 - 14.54 - 2.02 - 46.15 / 14.56/+0.3 - 43.52 - 4.60 - 60.09 - 4:40.58 ,10.66,7.72,14.54,2.02,46.15,14.56,43.52,4.60,60.09,4:40.58,+0.2,-0.3,+0.3
89,8345,DevonWILLIAMS,17JAN1994,USA,1,"Athens,GA(USA)",09APR2017,1180, 10.72/+0.3 - 7.75/0.0 - 14.20 - 1.96 - 48.14 / 13.83/+0.1 - 46.29 - 4.57 - 60.26 - 4:36.79 ,10.72,7.75,14.20,1.96,48.14,13.83,46.29,4.57,60.26,4:36.79,+0.3,0.0,+0.1
90,8342,PieterBRAUN,21JAN1993,NED,3,"Mösle-Stadium,Götzis(AUT)",27MAY2018,1179, 11.12/+0.4 - 7.62/+0.5 - 15.28 - 2.00 - 49.25 / 14.40/+0.2 - 45.52 - 4.90 - 58.77 - 4:24.29 ,11.12,7.62,15.28,2.00,49.25,14.40,45.52,4.90,58.77,4:24.29,+0.4,+0.5,+0.2
91,8339,JiříRYBA,15JUN1976,CZE,1,DesenzanodelGarda(ITA),14MAY2000,1179, 11.19/+0.2 - 6.83/+0.2 - 14.33 - 2.03 - 48.39 / 14.55/+0.6 - 45.26 - 5.20 - 61.55 - 4:12.14 ,11.19,6.83,14.33,2.03,48.39,14.55,45.26,5.20,61.55,4:12.14,+0.2,+0.2,+0.6
92,8336,TimothyDUCKWORTH,18JUN1996,GBR,1,"Eugene,OR(USA)",07JUN2018,1178, 10.57/+0.5 - 8.01/+0.8 - 13.15 - 2.13 - 48.78 / 14.37/-0.7 - 42.76 - 5.11 - 57.27 - 5:01.27 ,10.57,8.01,13.15,2.13,48.78,14.37,42.76,5.11,57.27,5:01.27,+0.5,+0.8,-0.7
93,8335,AdamSebastianHELCELET,27OCT1991,CZE,4,"Mösle-Stadium,Götzis(AUT)",28MAY2017,1178, 10.87/+1.4 - 7.32/+2.8 - 14.89 - 2.00 - 49.50 / 14.19/-0.2 - 44.35 - 5.00 - 68.04 - 4:43.69 ,10.87,7.32,14.89,2.00,49.50,14.19,44.35,5.00,68.04,4:43.69,+1.4,+2.8,-0.2
94,8332,ThomasVANDERPLAETSEN,24DEC1990,BEL,8,"EstádioOlímpico,RiodeJaneiro(BRA)",18AUG2016,1178, 11.24/+0.5 - 7.66/+0.7 - 12.84 - 2.16 - 49.63 / 15.01/+0.7 - 43.58 - 5.40 - 62.09 - 4:34.21 ,11.24,7.66,12.84,2.16,49.63,15.01,43.58,5.40,62.09,4:34.21,+0.5,+0.7,+0.7
95,8330,MikhailMEDVED,30JAN1964,URS,3,Kiev(URS),31JUL1988,1177, 11.24/-1.0 - 7.46/+1.2 - 15.73 - 2.07 - 50.13 / 14.40/+0.6 - 45.32 - 5.00 - 64.50 - 4:41.26 ,11.24,7.46,15.73,2.07,50.13,14.40,45.32,5.00,64.50,4:41.26,-1.0,+1.2,+0.6
96,8320,GernotKELLERMAYR,05APR1966,AUT,4,Götzis(AUT),30MAY1993,1176, 10.47/+1.9 - 7.66/+1.3 - 14.83 - 1.96 - 47.56 / 14.12/+0.4 - 42.50 - 5.00 - 58.24 - 4:54.78 ,10.47,7.66,14.83,1.96,47.56,14.12,42.50,5.00,58.24,4:54.78,+1.9,+1.3,+0.4
97,8318,PetriKESKITALO,10MAR1967,FIN,5,"OlympicStadium,Tokyo(JPN)",30AUG1991,1176, 10.93/+0.6 - 7.58/+1.0 - 15.06 - 2.03 - 50.26 / 14.27/-1.2 - 44.22 - 4.80 - 69.22 - 4:46.03 ,10.93,7.58,15.06,2.03,50.26,14.27,44.22,4.80,69.22,4:46.03,+0.6,+1.0,-1.2
98,8315,LuizAlbertoDEARAUJO,27JUN1987,BRA,10,"EstádioOlímpico,RiodeJaneiro(BRA)",18AUG2016,1175, 10.77/-0.4 - 7.48/-0.2 - 15.26 - 1.92 - 48.14 / 14.17/+0.1 - 45.10 - 4.90 - 57.28 - 4:31.46 ,10.77,7.48,15.26,1.92,48.14,14.17,45.10,4.90,57.28,4:31.46,-0.4,-0.2,+0.1
99,8314,JanPODĚBRADSKÝ,01MAR1974,CZE,1,Arles(FRA),04JUN2000,1175, 10.73/+1.9 - 7.20/+1.6 - 15.30 - 1.90 - 46.78 / 14.32/0.0 - 43.51 - 4.85 - 55.92 - 4:17.69 ,10.73,7.20,15.30,1.90,46.78,14.32,43.51,4.85,55.92,4:17.69,+1.9,+1.6,0.0
100,8312,WilfridBOULINEAU,13MAY1970,FRA,2,Arles(FRA),30MAY1999,1175, 10.85/+2.2 - 7.63/+3.8 - 13.64 - 2.09 - 49.46 / 14.54/+1.7 - 41.43 - 4.85 - 62.38 - 4:24.79 ,10.85,7.63,13.64,2.09,49.46,14.54,41.43,4.85,62.38,4:24.79,+2.2,+3.8,+1.7
100,8312,PaulTEREK,20OCT1979,USA,3,"Sacramento,CA(USA)",17JUL2004,1175, 10.98/-1.0 - 7.27/+0.6 - 15.37 - 2.01 - 48.74 / 15.40/-1.1 - 49.24 - 5.20 - 54.69 - 4:24.28 ,10.98,7.27,15.37,2.01,48.74,15.40,49.24,5.20,54.69,4:24.28,-1.0,+0.6,-1.1
100,8312,EdgarsERIŅŠ,18JUN1986,LAT,1,Valmiera(LAT),04JUN2011,1175, 10.79/+2.1 - 7.67/+0.2 - 14.19 - 1.90 - N/A / 14.56/+1.2 - 49.94 - 4.50 - 58.30 - 4:14.25 ,10.79,7.67,14.19,1.90,N/A,14.56,49.94,4.50,58.30,4:14.25,+2.1,+0.2,+1.2
100,8312,GunnarNIXON,13JAN1993,USA,13,"Luzhniki,Moskva(RUS)",11AUG2013,1175, 10.84/-0.5 - 7.80/+0.4 - 14.68 - 2.14 - 48.56 / 14.57/-0.1 - 42.38 - 4.60 - 57.97 - 4:35.82 ,10.84,7.80,14.68,2.14,48.56,14.57,42.38,4.60,57.97,4:35.82,-0.5,+0.4,-0.1
104,8310,KlausISEKENMEIER,14APR1975,GER,2,Ratingen(GER),01JUN1997,1174, 11.23/0.0 - 7.69/0.0 - 15.19 - 1.98 - 48.89 / 14.30/0.0 - 45.84 - 5.00 - 61.30 - 4:40.27 ,11.23,7.69,15.19,1.98,48.89,14.30,45.84,5.00,61.30,4:40.27,0.0,0.0,0.0
104,8310,DennisLEYCKES,20APR1982,GER,3,"Stadionring,Ratingen(GER)",25JUN2006,1174, 10.95/+1.0 - 7.07/0.0 - 14.10 - 2.00 - 48.48 / 14.37/-0.1 - 45.36 - 5.45 - 60.54 - 4:38.93 ,10.95,7.07,14.10,2.00,48.48,14.37,45.36,5.45,60.54,4:38.93,+1.0,0.0,-0.1
106,8308,KeisukeUSHIRO,24JUL1986,JPN,1,Nagano(JPN),01JUN2014,1174, 11.24/-0.6 - 7.15/-0.5 - 15.19 - 2.03 - 49.66 / 14.90/+0.1 - 50.17 - 4.80 - 69.11 - 4:32.62 ,11.24,7.15,15.19,2.03,49.66,14.90,50.17,4.80,69.11,4:32.62,-0.6,-0.5,+0.1
107,8307,ScottFERRIER,12JUN1974,AUS,2,KualaLumpur(MAS),18SEP1998,1174, 10.84/0.0 - 7.59/+0.4 - 13.34 - 2.13 - 48.25 / 14.20/+0.4 - 43.99 - 5.10 - 58.95 - 4:55.65 ,10.84,7.59,13.34,2.13,48.25,14.20,43.99,5.10,58.95,4:55.65,0.0,+0.4,+0.4
108,8304,MathiasBRUGGER,06AUG1992,GER,5,"Mösle-Stadium,Götzis(AUT)",27MAY2018,1173, 10.98/+0.4 - 7.32/+2.3 - 15.11 - 2.00 - 48.02 / 14.24/0.0 - 46.04 - 5.00 - 51.72 - 4:23.93 ,10.98,7.32,15.11,2.00,48.02,14.24,46.04,5.00,51.72,4:23.93,+0.4,+2.3,0.0
109,8302,MichaelKOHNLE,03MAY1970,GER,3,Götzis(AUT),28MAY1995,1173, 10.93/-0.1 - 7.41/-0.4 - 15.29 - 2.05 - 49.10 / 14.40/+0.7 - 47.06 - 5.20 - 58.76 - 4:57.49 ,10.93,7.41,15.29,2.05,49.10,14.40,47.06,5.20,58.76,4:57.49,-0.1,-0.4,+0.7
110,8299,PavelTARNAVETSKIY,22FEB1961,URS,6,Götzis(AUT),19JUN1988,1173, 11.03/+2.1 - 7.35/+2.9 - 15.49 - 1.99 - 48.19 / 14.90/+0.3 - 45.86 - 5.00 - 58.72 - 4:28.09 ,11.03,7.35,15.49,1.99,48.19,14.90,45.86,5.00,58.72,4:28.09,+2.1,+2.9,+0.3
111,8295,NormanMÜLLER,07AUG1985,GER,2,"Stadionring,Ratingen(GER)",21JUN2009,1172, 10.91/+1.7 - 7.47/+3.3 - 15.27 - 2.02 - 48.95 / 14.54/+0.5 - 43.65 - 4.80 - 60.89 - 4:29.20 ,10.91,7.47,15.27,2.02,48.95,14.54,43.65,4.80,60.89,4:29.20,+1.7,+3.3,+0.5
112,8293,JohannesHOCK,24MAR1992,GER,1,"Waco,TX(USA)",04MAY2013,1172, 10.78/+1.6 - 7.46/+3.7 - 15.40 - 1.94 - 49.80 / 14.86/+1.0 - 53.85 - 4.69 - 63.63 - 4:45.82 ,10.78,7.46,15.40,1.94,49.80,14.86,53.85,4.69,63.63,4:45.82,+1.6,+3.7,+1.0
113,8290,HaifengQI,07AUG1983,CHN,4,"Mösle-Stadium,Götzis(AUT)",29MAY2005,1171, 10.87/+0.9 - 7.40/+0.1 - 13.41 - 2.03 - 48.72 / 14.63/-1.4 - 48.57 - 4.70 - 64.53 - 4:32.02 ,10.87,7.40,13.41,2.03,48.72,14.63,48.57,4.70,64.53,4:32.02,+0.9,+0.1,-1.4
113,8290,VitaliyZHUK,10SEP1996,BLR,3,"Olympiastadion,Berlin(GER)",08AUG2018,1171, 11.12/-0.2 - 7.05/+1.5 - 15.65 - 1.99 - 48.41 / 14.66/+0.1 - 45.46 - 4.90 - 66.19 - 4:30.81 ,11.12,7.05,15.65,1.99,48.41,14.66,45.46,4.90,66.19,4:30.81,-0.2,+1.5,+0.1
115,8288,JanFelixKNOBEL,16JAN1989,GER,5,"Mösle-Stadium,Götzis(AUT)",29MAY2011,1171, 11.14/-0.8 - 7.23/+1.2 - 15.47 - 1.94 - 49.23 / 14.77/-0.4 - 46.68 - 4.96 - 72.99 - 4:43.39 ,11.14,7.23,15.47,1.94,49.23,14.77,46.68,4.96,72.99,4:43.39,-0.8,+1.2,-0.4
116,8285,PhilMCMULLEN,03FEB1975,USA,4,"Sacramento,CA(USA)",17JUL2004,1170, 11.19/+0.1 - 6.90/-0.4 - 15.24 - 2.04 - 48.88 / 14.85/-1.1 - 49.44 - 5.00 - 56.35 - 4:15.18 ,11.19,6.90,15.24,2.04,48.88,14.85,49.44,5.00,56.35,4:15.18,+0.1,-0.4,-1.1
117,8280,LaurentHERNU,22AUG1976,FRA,8,"CommonwealthStadium,Edmonton(CAN)",07AUG2001,1170, 10.97/+0.3 - 7.31/-0.4 - 14.43 - 2.03 - 49.31 / 14.01/0.0 - 43.93 - 5.10 - 59.90 - 4:37.41 ,10.97,7.31,14.43,2.03,49.31,14.01,43.93,5.10,59.90,4:37.41,+0.3,-0.4,0.0
118,8275,MihailDUDAŠ,01NOV1989,SRB,14,"Luzhniki,Moskva(RUS)",11AUG2013,1169, 10.67/-0.5 - 7.51/+0.7 - 13.45 - 1.96 - 47.73 / 14.59/-0.2 - 44.06 - 4.90 - 59.06 - 4:26.62 ,10.67,7.51,13.45,1.96,47.73,14.59,44.06,4.90,59.06,4:26.62,-0.5,+0.7,-0.2
119,8271,JānisKARLIVĀNS,02JUN1982,LAT,6,"Mösle-Stadium,Götzis(AUT)",27MAY2007,1168, 11.13/+0.2 - 7.82/+2.2 - 15.01 - 2.06 - 49.10 / 14.86/-0.6 - 47.95 - 4.70 - 60.55 - 4:43.62 ,11.13,7.82,15.01,2.06,49.10,14.86,47.95,4.70,60.55,4:43.62,+0.2,+2.2,-0.6
120,8260,AxelHUBERT,16FEB1996,FRA,1,"StadeDeLattreDeTassigny,Aubagne(FRA)",20SEP2020,1167, 11.03/0.0 - 7.42/+3.4 - 15.82 - 1.98 - 50.75 / 14.31/-0.4 - 41.88 - 4.90 - 69.69 - 4:39.62 ,11.03,7.42,15.82,1.98,50.75,14.31,41.88,4.90,69.69,4:39.62,0.0,+3.4,-0.4
121,8257,VitaliyKOLPAKOV,02FEB1972,UKR,1,Bressanone(ITA),03JUL1994,1166, 11.29/-0.5 - 7.62/+1.3 - 15.19 - 2.16 - 48.43 / 14.40/+1.3 - 44.50 - 4.70 - 57.38 - 4:44.00 ,11.29,7.62,15.19,2.16,48.43,14.40,44.50,4.70,57.38,4:44.00,-0.5,+1.3,+1.3
122,8256,KamilDAMAŠEK,22SEP1973,CZE,2,Lage(GER),16JUN1996,1166, 11.03/+1.2 - 7.33/+1.8 - 15.01 - 2.04 - 47.33 / 14.61/+1.5 - 40.36 - 5.00 - 57.58 - 4:28.08 ,11.03,7.33,15.01,2.04,47.33,14.61,40.36,5.00,57.58,4:28.08,+1.2,+1.8,+1.5
123,8253,FrankMÜLLER,18JUN1968,GER,14,"OlympicStadium,Atlanta,GA(USA)",01AUG1996,1165, 10.95/+0.8 - 7.25/ - 14.69 - 1.95 - 49.05 / 14.86/ - 45.90 - 5.10 - 66.10 - 4:37.50 ,10.95,7.25,14.69,1.95,49.05,14.86,45.90,5.10,66.10,4:37.50,+0.8,,
123,8253,RobertJacobARNOLD,03JAN1984,USA,4,"Mösle-Stadium,Götzis(AUT)",30MAY2010,1165, 11.04/+0.8 - 6.96/+1.8 - 15.17 - 2.00 - 49.29 / 14.12/+0.3 - 46.51 - 5.10 - 62.28 - 4:40.74 ,11.04,6.96,15.17,2.00,49.29,14.12,46.51,5.10,62.28,4:40.74,+0.8,+1.8,+0.3
125,8252,RaúlDUANYBUENO,04JAN1975,CUB,1,LaHabana(CUB),24JUL2000,1165, 10.66/-0.8 - 7.48/+0.2 - 13.96 - 2.01 - 49.52 / 13.9h/+1.8 - 41.38 - 4.60 - 64.20 - 4:26.56 ,10.66,7.48,13.96,2.01,49.52,13.9h,41.38,4.60,64.20,4:26.56,-0.8,+0.2,+1.8
126,8250,Karl-HeinzFICHTNER,16AUG1962,FRG,7,Götzis(AUT),19JUN1988,1165, 11.11/-1.4 - 7.75/+4.0 - 15.39 - 1.99 - 49.19 / 15.03/-0.7 - 43.50 - 5.10 - 56.44 - 4:29.22 ,11.11,7.75,15.39,1.99,49.19,15.03,43.50,5.10,56.44,4:29.22,-1.4,+4.0,-0.7
127,8247,PauTONNESEN,24OCT1992,USA,2,"Eugene,OR(USA)",11JUN2015,1164, 11.11/+3.2 - 7.49/+1.8 - 15.17 - 2.08 - 50.68 / 14.87/+0.7 - 45.53 - 5.30 - 57.52 - 4:41.77 ,11.11,7.49,15.17,2.08,50.68,14.87,45.53,5.30,57.52,4:41.77,+3.2,+1.8,+0.7
128,8244,BeatGÄHWILER,26JAN1965,SUI,8,Götzis(AUT),19JUN1988,1164, 11.23/-1.0 - 7.57/+1.0 - 13.49 - 1.99 - 48.70 / 14.56/+0.3 - 43.82 - 4.70 - 64.24 - 4:14.77 ,11.23,7.57,13.49,1.99,48.70,14.56,43.82,4.70,64.24,4:14.77,-1.0,+1.0,+0.3
129,8241,KipJANVRIN,08JUL1965,USA,1,"Eugene,OR(USA)",22JUN2001,1164, 10.98/+1.1 - 7.01/+2.9 - 14.21 - 1.89 - 48.41 / 14.72/+1.2 - 45.59 - 5.20 - 60.41 - 4:14.96 ,10.98,7.01,14.21,1.89,48.41,14.72,45.59,5.20,60.41,4:14.96,+1.1,+2.9,+1.2
130,8239,JamieADJETEY-NELSON,20MAY1984,CAN,3,Kladno(CZE),16JUN2010,1163, 10.76/+0.6 - 7.61/+0.9 - 14.89 - 2.09 - 49.70 / 14.62/+2.0 - 49.17 - 4.40 - 62.74 - 4:52.28 ,10.76,7.61,14.89,2.09,49.70,14.62,49.17,4.40,62.74,4:52.28,+0.6,+0.9,+2.0
131,8237,RobMUZZIO,25JUN1964,USA,8,"Gottlieb-DaimlerStadion,Stuttgart(GER)",20AUG1993,1163, 11.11/-0.9 - 6.72/+0.2 - 16.99 - 1.94 - 49.82 / 14.51/0.0 - 47.90 - 5.00 - 64.50 - 4:34.43 ,11.11,6.72,16.99,1.94,49.82,14.51,47.90,5.00,64.50,4:34.43,-0.9,+0.2,0.0
132,8233,StefanDREWS,12FEB1979,GER,4,"Stadionring,Ratingen(GER)",25JUN2006,1162, 10.70/+1.0 - 7.54/+0.8 - 13.68 - 1.88 - 47.86 / 14.24/-0.1 - 41.67 - 5.35 - 50.81 - 4:25.60 ,10.70,7.54,13.68,1.88,47.86,14.24,41.67,5.35,50.81,4:25.60,+1.0,+0.8,-0.1
132,8233,EugèneMARTINEAU,14MAY1980,NED,5,"Stadionring,Ratingen(GER)",22JUN2008,1162, 11.17/+0.3 - 7.27/+1.5 - 13.24 - 1.99 - 49.25 / 14.37/+2.0 - 45.00 - 5.00 - 70.09 - 4:35.04 ,11.17,7.27,13.24,1.99,49.25,14.37,45.00,5.00,70.09,4:35.04,+0.3,+1.5,+2.0
134,8232,GarrettSCANTLING,19MAY1993,USA,1,"Athens,GA(USA)",09APR2015,1162, 10.85/+0.8 - 7.25/+2.0 - 15.06 - 2.06 - 49.04 / 14.21/+0.1 - 37.19 - 4.95 - 67.34 - 4:44.31 ,10.85,7.25,15.06,2.06,49.04,14.21,37.19,4.95,67.34,4:44.31,+0.8,+2.0,+0.1
135,8231,SimonEHAMMER,07FEB2000,SUI,1,"StadionHard,Langenthal(SUI)",09AUG2020,1162, 10.50/+1.2 - 7.81/-0.6 - 13.75 - 2.01 - 47.27 / 13.73/+0.6 - 36.19 - 4.90 - 52.88 - 4:42.54 ,10.50,7.81,13.75,2.01,47.27,13.73,36.19,4.90,52.88,4:42.54,+1.2,-0.6,+0.6
136,8229,TimNOWAK,13AUG1995,GER,3,"StadePierrePaulBernard,Talence(FRA)",16SEP2018,1162, 11.19/-0.3 - 7.56/+2.3 - 14.50 - 1.96 - 49.29 / 14.72/-0.9 - 45.31 - 4.85 - 64.00 - 4:26.80 ,11.19,7.56,14.50,1.96,49.29,14.72,45.31,4.85,64.00,4:26.80,-0.3,+2.3,-0.9
137,8228,MartinROE,01APR1992,NOR,1,"StadioRidolfi,Firenze(ITA)",28APR2018,1162, 10.82/-0.9 - 7.53/+0.6 - 15.46 - 1.92 - 49.78 / 15.15/-0.4 - 48.26 - 4.75 - 66.64 - 4:40.97 ,10.82,7.53,15.46,1.92,49.78,15.15,48.26,4.75,66.64,4:40.97,-0.9,+0.6,-0.4
138,8227,SolomonSIMMONS,26SEP1993,USA,2,"DrakeStadium,DesMoines,IA(USA)",26JUL2019,1161, 10.60/+1.8 - 7.50/+0.6 - 15.11 - 1.94 - 49.27 / 14.02/+1.5 - 44.88 - 4.90 - 51.42 - 4:33.85 ,10.60,7.50,15.11,1.94,49.27,14.02,44.88,4.90,51.42,4:33.85,+1.8,+0.6,+1.5
